#,Pillar,Detected Issue,Severity,Target File(s),Effort,Est Traffic Impact,Est Revenue Impact,Time to Impact,Business Value
1,Indexability,"Empty indexable /category/bitcoin/ (0 posts) plus thin /category/defi/ (2 posts) and /category/press/ (1 post) while empty sibling categories (ethereum, altcoins, exchanges, regulation) are correctly noindexed",Critical,category/bitcoin.md; category/defi.md; category/press.md,S (<4h),Indexation safety / avoids thin-content risk,Medium,Immediate,Risk
2,On-Page,"Cross-page cannibalization: /press/ vs /category/press/ and /pages/todays-combo/ vs /category/todays-combo/ - two indexable URLs serve identical post lists",High,press/index.md; category/press.md; pages/todays-combo.md; category/todays-combo.md,S (<4h),Clean query mapping,Low,1-4 weeks,Traffic
3,On-Page,"Title-tag truncation on 8+ indexable pages (60-80 chars with '| The DESI Sikka' suffix): 5 learn guides (69-80), hyundai post (72), predict-fun post (70), welcome post (69); all WOTD posts borderline (61-62)",High,pages/learn/*.md (5 files); _posts/2026-09-17-hyundai-*; _posts/2026-09-01-predict-*; _posts/2026-09-01-welcome-*,S (<4h),Campaign CTR,Medium,Immediate,Traffic
4,Content,"15 near-duplicate Binance WOTD posts target one query cluster (Binance WOTD Answers Sept N, 2026) with identical bodies and shared cover image - cannibalization + thin differentiation",High,_posts/binance-wotd-*.md (15 files),M (1-3d),Featured-snippet share on cluster,Medium,1-4 weeks,Traffic
5,Schema/Freshness,"dateModified and article:modified_time never render because no post sets last_modified_at - freshness signal dead for Google News/Discover",Medium,_layouts/post.html; _includes/head.html; all _posts/*.md,S (<4h),Freshness signal in News/Discover,Low,Medium-term,Traffic
6,Feeds/Discover,"RSS/Atom/JSON feeds have no per-item image (media:content/enclosure); Atom autodiscovery points to plugin feed.xml not the custom atom.xml",Medium,rss.xml; atom.xml; feed.json; _includes/head.html,S (<4h),Discover card eligibility,Medium,Launch-gated,Traffic
7,Social,"og:image:width/height only emitted for site default image; post covers omit dimensions",Medium,_includes/head.html,S (<4h),Social CTR minor,Low,Immediate,Brand
8,Compliance,"opinion: true is policy-only; no enforcement. A future prediction post ships as plain NewsArticle without Opinion label",Medium,_layouts/post.html; front-matter convention,S (<4h),Risk reduction,Medium,When predictions ship,Risk
9,Config/Crawl,"Build artifacts published to production site root: opencode.json, seo_audit_report.md/csv, scripts/ plus orphan bharat-by-day.html demo (only page-level noindex, not robots-disallowed)",Medium,_config.yml (exclude list),S (<4h),Crawl hygiene,Low,Immediate,Risk
10,Linking,"4 noindex, empty category pages (ethereum, altcoins, regulation, exchanges) still linked in global footer and llms.txt - wasted crawl and link equity",Medium,_includes/footer.html; llms.txt,S (<4h),Equity nit,Low,Immediate,Brand
11,Performance,"Heavy images: logo.png 624.6 KB (og/publisher-schema/welcome cover) and predictfun-developer-dashboard-hero.jpg 366.3 KB (LCP on that post)",Medium,assets/site-images/logo.png; assets/articles-images/predictfun-*.jpg,M (1-3d),CWV LCP/CLS,Medium,1-4 weeks,Revenue
12,On-Page,"Homepage title is bare brand 'The DESI Sikka' (14 chars) - no keyword or CTR value",Medium,index.md,S (<4h),Home CTR,Low,Immediate,Traffic
13,Sitemap,"sitemap.xml lacks lastmod on category/static/author/legal/hub entries",Low,_config.yml / sitemap logic,S (<4h),Negligible,None,Immediate,Brand
14,Security/SEO,"security.txt Canonical points to /thedesisikka/.well-known/security.txt which 404s because Jekyll drops dot-directories from _config includes",Low,_config.yml (include .well-known) or security.txt,S (<4h),None (security hygiene),None,Immediate,Risk
15,Performance,"Unminified CSS (52 KB) and JS (16 KB) - no build-time minification",Low,assets/main.css; assets/site.js; CI,M (1-3d),LCP/FCP marginal,Low,1-4 weeks,Revenue
16,GEO/AEO,"llms.txt category list stale (missing new News category); Welcome post first paragraph (24 words) fails the 40-60-word direct-answer AEO test",Low,llms.txt; _posts/2026-09-01-welcome-*.md,S (<4h),GEO nit,Low,Medium-term,Brand
17,Taxonomy,"2 posts have empty tags (2026-09-01); tag taxonomy under-used beyond combo/featured",Low,_posts/2026-09-01-*.md (2 files),S (<4h),Negligible,None,Immediate,Brand
